Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDN60,2560.55914418,OUT049
FDM09,415.985031914,OUT019
FDP46,1362.36563575,OUT049
FDB50,175.238499378,OUT019
NCQ29,4134.60398068,OUT049
FDP16,6007.41208208,OUT027
FDX33,2531.03750779,OUT018
FDP07,498.790321338,OUT010
FDN22,4115.21677709,OUT046
FDF39,4138.10096658,OUT049
FDS21,948.011065491,OUT017
NCM42,1653.14535901,OUT013
FDK50,381.63356338,OUT019
DRF13,3996.08343513,OUT027
FDH35,2511.3828943,OUT018
FDP60,1551.90209314,OUT018
DRJ49,3273.57665155,OUT027
NCT42,354.992652885,OUT019
FDE38,2721.68825162,OUT049
FDI04,3083.68131784,OUT049
NCH54,2565.57213066,OUT045
FDT56,876.99718027,OUT049
DRD15,3472.89283754,OUT018
FDV58,3106.6437044,OUT013
FDP21,3123.93469677,OUT049
FDH05,3786.58248198,OUT013
FDR10,4134.24613796,OUT027
NCP06,2475.93701921,OUT045
FDF33,1650.77529434,OUT049
DRK37,3117.80195771,OUT013
DRH49,1329.98068707,OUT045
FDT58,2708.84249461,OUT013
FDD41,1633.84594172,OUT018
FDP40,1677.51787889,OUT018
FDM51,2604.31122824,OUT027
FDO45,199.825799033,OUT010
FDW33,230.47592414,OUT010
FDY24,847.651175239,OUT045
FDB10,591.477668146,OUT010
FDM40,2095.26631356,OUT035
NCI06,3033.00830318,OUT017
FDW12,334.038408193,OUT019
FDX48,4018.11676212,OUT027
NCW05,2630.7870229,OUT027
FDX27,1510.47042771,OUT017
DRM37,3066.68828233,OUT045
FDA38,3856.43787743,OUT045
FDR36,633.383761106,OUT046
FDZ45,3112.71752948,OUT046
FDG05,2517.02911152,OUT017
FDK28,4170.4889977,OUT013
FDV47,1350.44658939,OUT045
FDN21,2603.35808125,OUT045
FDP20,3271.70464532,OUT027
FDI35,3113.17151673,OUT045
DRY23,679.887587318,OUT013
FDA56,2023.02740446,OUT017
FDB09,2042.04270087,OUT013
NCO26,3175.56697253,OUT027
FDQ49,2429.85799857,OUT018
FDI52,3244.9802482,OUT027
FDZ44,3175.56697253,OUT027
FDZ09,2525.22324778,OUT018
FDY03,1919.41621835,OUT049
NCG42,2054.22047495,OUT017
DRI13,5921.82580998,OUT027
FDQ32,2058.83053304,OUT013
FDW16,1389.18737014,OUT035
FDU27,778.719086625,OUT046
FDR28,390.848056156,OUT010
FDQ49,365.348667608,OUT010
FDS37,1950.19550457,OUT046
FDW26,3402.06794488,OUT018
FDX12,3650.59615439,OUT018
NCP06,2474.37504165,OUT013
FDW45,362.686240674,OUT010
NCN30,1497.10511058,OUT049
FDN24,831.894939462,OUT049
NCL41,1162.10050837,OUT027
FDR02,263.514061696,OUT019
FDD09,444.256298367,OUT010
FDS33,200.477261033,OUT010
FDU22,2012.19212006,OUT045
FDI53,2596.99021188,OUT013
DRH01,2873.38247891,OUT049
FDX32,2141.04302477,OUT013
NCP30,608.914598821,OUT018
FDB60,3044.07595095,OUT045
FDB14,1449.8504682,OUT049
NCP02,851.358231986,OUT035
FDJ10,2059.37351467,OUT017
FDG34,1724.84595456,OUT046
NCB18,1361.76958511,OUT017
FDM16,1140.77424459,OUT049
FDW25,1321.99065847,OUT018
FDB35,215.651894971,OUT010
DRN11,2168.64770053,OUT013
FDF41,590.045799935,OUT019
FDH16,1364.46013803,OUT045
NCQ50,3474.89325718,OUT018
DRH23,851.780019832,OUT018
DRJ37,2484.58453386,OUT013
DRJ24,5159.22658358,OUT027
FDY16,3120.47390019,OUT035
FDQ27,1650.63205946,OUT045
FDZ33,2485.21542552,OUT045
FDF29,2049.1736422,OUT045
FDA08,2606.16407549,OUT049
FDG31,1072.87139382,OUT046
FDE34,466.757742062,OUT019
NCR30,1481.72725763,OUT027
FDV33,4117.61196926,OUT035
DRZ24,1902.80155661,OUT018
NCL54,2840.32975976,OUT035
FDR12,2896.78063561,OUT049
NCC54,3858.99492722,OUT046
DRN59,805.087602041,OUT013
FDX50,263.89287309,OUT019
FDV31,4837.06593636,OUT027
NCA29,4491.04045211,OUT027
FDW60,2898.02702234,OUT049
FDX08,3101.35413581,OUT017
DRD49,3865.90761915,OUT013
FDD33,3904.04087463,OUT046
FDW35,678.039274753,OUT013
FDJ36,1649.60948766,OUT017
FDV51,2672.72860093,OUT035
FDW36,1652.09774989,OUT046
FDH35,2596.41216788,OUT046
NCS30,3276.17865385,OUT027
FDN49,605.689889066,OUT017
FDL08,3656.83156669,OUT018
FDI09,4012.8300456,OUT013
FDP19,1938.12392243,OUT018
FDU21,120.824536862,OUT010
NCP41,1653.14535901,OUT045
FDY10,1834.41099896,OUT013
FDP12,587.478998856,OUT018
NCN26,1947.17008334,OUT049
FDK44,2874.28292781,OUT013
FDC28,1656.99294271,OUT049
FDJ41,6007.41208208,OUT027
NCT29,2025.75961928,OUT035
NCH42,590.045799935,OUT019
FDU60,2585.84717658,OUT018
FDS02,3082.94168696,OUT045
FDC51,2054.60435237,OUT046
FDU03,3141.00615773,OUT013
FDX39,3609.32700211,OUT045
NCY05,120.824536862,OUT010
NCL06,6007.41208208,OUT027
FDD32,1289.39068474,OUT035
NCN41,2015.56952777,OUT045
NCX53,2113.19945803,OUT049
FDU57,362.580331759,OUT019
FDQ23,1650.63205946,OUT046
FDQ52,4060.3404624,OUT045
FDC14,620.329763676,OUT045
FDY09,2890.81471558,OUT035
FDQ28,2503.3387346,OUT045
FDV25,3749.02473515,OUT046
FDJ07,1930.5893854,OUT035
DRB25,1651.02711797,OUT049
FDK52,589.454673352,OUT019
FDY52,1443.84453569,OUT027
FDB28,3072.75503084,OUT046
FDT36,590.57780184,OUT035
FDV25,3802.56304833,OUT017
NCN07,3276.17865385,OUT027
FDC57,3066.06457044,OUT017
FDQ03,3608.98009711,OUT018
FDU23,2651.67762851,OUT017
NCX41,3658.44234134,OUT035
NCD06,762.980574907,OUT035
FDW08,1650.77529434,OUT045
NCU29,2435.56483126,OUT017
NCE06,2592.8041088,OUT013
FDV52,272.600776949,OUT010
FDB02,2889.16094618,OUT017
NCR18,628.003212817,OUT045
FDK16,1497.10511058,OUT049
NCQ29,592.21487691,OUT010
FDZ01,244.398949565,OUT019
FDW27,2568.20590963,OUT035
FDD17,3526.22165272,OUT018
FDW39,2853.3857742,OUT013
DRH59,1091.04065682,OUT045
FDS52,1645.16941941,OUT013
FDU40,5592.24223007,OUT027
NCF54,2893.89119214,OUT013
FDH46,1649.60948766,OUT045
NCP14,1650.63205946,OUT049
FDH50,3144.62480719,OUT049
DRF15,365.448291444,OUT010
FDV27,2352.66052991,OUT027
NCJ06,2027.82195023,OUT049
FDN02,3215.52575481,OUT018
FDQ51,773.908730707,OUT049
FDQ07,3701.0114295,OUT017
FDS45,1650.63205946,OUT049
NCJ06,2013.22746491,OUT045
FDD36,1931.16716402,OUT035
FDY25,3116.10324806,OUT045
FDU52,2495.79176859,OUT046
DRK47,3794.63539972,OUT017
NCL30,2041.95516525,OUT017
FDN22,4122.51719932,OUT035
NCF30,3271.70464532,OUT027
FDK03,4114.46641734,OUT035
FDT45,848.734477071,OUT017
NCC54,6007.41208208,OUT027
FDP08,2940.03077046,OUT018
FDU44,2604.77557953,OUT046
DRG39,820.78688001,OUT035
FDU32,2051.88825994,OUT049
FDY27,2941.59740768,OUT049
NCP54,2053.47341834,OUT013
NCZ41,2061.6011118,OUT049
DRL49,2224.11263345,OUT013
FDI05,1253.2248232,OUT018
FDY56,3746.92538907,OUT045
DRC13,2061.11388775,OUT013
NCV29,2967.45774307,OUT017
FDR24,1380.30490433,OUT049
FDZ34,2977.5755245,OUT018
FDP37,2024.79491372,OUT035
FDX08,4879.31560652,OUT027
FDS57,2091.65056285,OUT045
NCG18,1649.60948766,OUT049
FDK25,2658.64623785,OUT018
FDH53,1300.83290996,OUT049
DRI59,3532.63113365,OUT018
FDA52,2892.4506486,OUT046
FDT20,120.824536862,OUT010
FDE36,379.519806621,OUT019
FDI24,2867.9024548,OUT017
FDB28,3004.33068184,OUT018
FDV11,2851.88335514,OUT017
FDP01,2483.45604319,OUT046
FDD34,4152.05157131,OUT027
FDJ50,1221.99031716,OUT027
FDZ44,1965.8333998,OUT013
DRO59,1181.97823637,OUT035
DRB48,617.280765546,OUT045
FDR21,2768.2507971,OUT018
NCE42,591.477668146,OUT010
FDO23,1449.8504682,OUT046
NCE30,3454.68440082,OUT018
FDQ22,592.908821747,OUT035
FDY01,1928.56893729,OUT045
FDS08,2882.34629799,OUT017
FDG28,3656.88916888,OUT018
FDQ51,755.819621016,OUT018
FDB05,4033.69665394,OUT017
FDO56,1940.81483426,OUT049
FDE02,1427.40688244,OUT018
FDN45,3714.38954589,OUT017
FDS09,802.382163117,OUT013
NCA54,2951.22333674,OUT018
FDP09,555.902359532,OUT010
FDC53,1567.90309779,OUT045
NCM55,3105.07711485,OUT017
FDL09,2659.64494273,OUT018
FDA11,232.293634378,OUT019
FDA50,1497.91976442,OUT045
FDC23,2959.20221407,OUT017
FDE22,2576.6675711,OUT049
FDD23,3128.3742733,OUT046
NCA29,2881.26900433,OUT049
FDK38,2484.81417946,OUT046
DRC13,2055.47235051,OUT046
NCP43,2955.43661162,OUT049
FDX28,1567.38724543,OUT049
FDF08,1379.42347582,OUT049
FDZ33,2481.77810766,OUT046
FDD10,2909.2403354,OUT049
FDO58,2559.77848432,OUT017
FDI50,3875.37052712,OUT017
FDO58,2613.09343114,OUT045
FDX08,3072.16510656,OUT013
NCK17,120.824536862,OUT010
FDF39,4210.52010881,OUT035
FDU45,257.18381827,OUT010
NCJ18,1807.95424425,OUT018
DRC27,590.045799935,OUT019
DRC25,1345.92758111,OUT035
